name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theParse,https://www.theparse.co.za/,"theParse is an IT company that specializes in analytics, IoT, edge computing, and software development services.",,"Computer, Information Technology, Internet of Things, Software",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",12/15/2015,active,
thePenTool,https://www.thepentool.co/,"thePenTool provides UI assets, figma plugins, templates, illustrations, and UX bundle kits.",https://www.linkedin.com/company/thepentool/,"Apps, Graphic Design, Software, UX Design",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",,active,
thePostalCodes - Pakistan Postal Codes,https://www.thepostalcodes.net/,Pakistan Postal Codes update Daily,,"Advertising, E-Commerce, Education, Financial Services, Information Technology, Internet, Professional Services, Real Estate, Software",c_00011_00050,"Asia-Pacific (APAC), Middle East and North Africa (MENA)",12/25/2016,active,
thePrintLabs,https://www.theprintlabs.com,thePrintLabs provides digital publishing and digital publishing strategies services.,https://www.linkedin.com/company/theprintlabs-ltd-/,"Advertising, Consulting, Publishing, Video",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",1/1/2011,active,
theProduct,http://hosting.theproduct.com.au/,theProduct is Sunshine’s Coast leading provider of web hosting and marketing solutions.,https://www.linkedin.com/company/media-communications-group,,,"Asia-Pacific (APAC), Australasia",,active,
theRightU,http://www.therightu.com,TheRightU is an online university admissions and higher education consultancy based in Singapore.,https://www.linkedin.com/company/therightu,Education,c_00011_00050,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",1/1/2012,active,
theSALT,https://thesalt.co.za,theSALT provides influencer marketing services.,https://www.linkedin.com/company/thesalt,"Advertising, Marketing, Social Media",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2016,active,
theSEO,https://theseo.com,theSEO offers SEO services to improve website visibility and traffic.,,"Digital Marketing, SEO, Social Media Marketing, Web Design",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2003,active,
theShukran,https://www.theshukran.com,theShukran is a visual social network that connects cultures and people.,https://www.linkedin.com/company/theshukran/,"Internet, Mobile Apps, Social Network",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2017,active,
theSight Technology,https://thesight.hcmsps.com/home,TheSight Technology utilizes NLP (Natural Language Processing) technology to empower its users to create their own virtual analysts.,,"Consulting, Information Technology, Software",c_00001_00010,,2/1/2019,active,
theafflictor,https://theafflictor.com/ap/,"best website designing services for various sector of business like E-commerce, Hotel app, restaurants app etc.",,E-Commerce,c_00101_00250,Asia-Pacific (APAC),,active,
theaninezone,http://theaninezone.com/,The #1 place where people can get information about l-theanine related topics,,Association,,,2/2/2015,active,
theapplianceshub,https://theapplianceshub.com/,The Appliance Hub is a well-known blog in India whose base is to review home appliances like washing machines.,,"E-Commerce, Home Appliances",c_00001_00010,,3/5/1902,active,
theater but,https://www.pero.se,theater but is a production company that combines mime and mimicry with music and narrative.,https://www.linkedin.com/company/teater-pero,"Media and Entertainment, Performing Arts, Theatre",c_00011_00050,"European Union (EU), Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",,active,
thebank Vietnam,https://thebankvietnam.com/,"TheBank Viet Nam la website thông tin ngan hang hang dau tai Viet Nam. Cung cap cac thong tin ve chi nhanh, phong giao dich, hotline.",,,c_00001_00010,,1/1/2021,active,
thebestof UK,https://www.thebestof.co.uk/,thebestof UK is a businesses supporting and promoting company.,https://www.linkedin.com/company/the-best-of-norwich/,"Advertising, Marketing",c_00101_00250,"Europe, Middle East, and Africa (EMEA)",1/1/2005,active,
thebigword,http://www.thebigword.com/,thebigword is a technology-driven language communication leaders trusted by the top 100 global brands and organizations.,https://www.linkedin.com/company/thebigword,"Consulting, Government, Health Care, Information Technology",c_00501_01000,"Europe, Middle East, and Africa (EMEA)",1/1/1980,active,
theblood,https://www.theblood.io,"health tech, digital health, womens health",https://www.linkedin.com/company/the-blood,Health Care,c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2022,active,
thebrandwick,https://thebrandwick.com,"thebrandwick is an information technology company that provides web, mobile app, and AI development services.",https://www.linkedin.com/company/thebrandwick,"Artificial Intelligence (AI), Information Technology, Mobile Apps, SEO, Web Development",c_00001_00010,Asia-Pacific (APAC),1/1/2020,active,
thecitysecret,https://www.thecitysecret.com/,thecitysecret is a software development & IT services company.,https://www.linkedin.com/company/thecitysecret/,"Information Services, Information Technology, Software, Software Engineering, Web Development",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2000,active,
thecover.cn,http://www.thecover.cn/,A Media & Entertainment Company based in Sichuan.,,"Media and Entertainment, News, Publishing",c_00001_00010,Asia-Pacific (APAC),1/1/2015,active,
thecricketer,http://www.thecricketer.com,"thecricketer is an online home of the world’s oldest cricket magazine. Breaking news, interviews, opinion, and cricket goodness.",https://www.linkedin.com/company/the-cricketer/,"Cricket, News, Sports",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/1921,active,
thedentistshop,https://www.thedentistshop.com/,"The Dentist Shop is one of the leading online dental stores in India. Buy dental products online, the best online dental shop.",,,,,,active,
thedetailingmafia,http://www.thedetailingmafia.com/,The detailing mafia offers you a business opportunities,https://www.linkedin.com/in/the-detailing-mafia-6b61a8130/detail/recent-activity/posts/,,c_00051_00100,Asia-Pacific (APAC),5/14/1987,active,
thedocyard,https://www.thedocyard.co/,thedocyard is a cloud-based deal space built specifically for managing the entire lifecycle of any corporate or commercial transaction.,https://www.linkedin.com/company/dealmanagement,"Consumer Software, Software",c_00001_00010,"Asia-Pacific (APAC), Australasia",1/1/2015,active,
theelisha,http://theelisha.com/,"Theelisha is a clothing line that offers various categories like university wear, Desi wear, Shadi Biya wear, and Islamic wear.",,,,,,active,
theem'on,http://theemon.com/,"An online marketplace that is providing the premium quality of WordPress products like themes, templates, news letter, plugins etc.",https://www.linkedin.com/company/theemonofficial,"E-Commerce, Internet, Messaging, Web Design",c_00251_00500,Asia-Pacific (APAC),2/5/2015,active,
thefi.com,https://www.thefi.com/,thefi.com is an information technology company that provides computer hardware and software services.,https://www.linkedin.com/company/theficom/,"Hardware, Information Services, Information Technology, Software",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1992,active,
thefilmhouse,https://www.thefilmhouse.me,"thefilmhouse develops and produces feature films, series, and video content.",https://www.linkedin.com/company/the-film-house-me,"Content, Film, Film Production, Media and Entertainment",c_00001_00010,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",1/1/2007,active,Frederic Ephrem
thefocusgroup,http://www.thefocusgroup.nl,The Focus Group develops & implements integrated marketing and sales concepts also help with internet marketing and online lead generation.,https://www.linkedin.com/company/the-focus-group-nl,"Advertising, Data Integration, Lead Generation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",3/26/2014,active,
thefoodstuff.in,http://thefoodstuff.in/,"The flavours of India. Retailers in Indian grains, spices, cereals, pulses, millets and food products. Serving with pride since 2022.",https://www.linkedin.com/company/thefoodstuff-in/,Retail,c_00001_00010,Asia-Pacific (APAC),1/1/2022,active,Sai Sakthivel Rajamani Surendran
thefullstack,https://thefullstack.network/,"The Fullstack is a space where developers connect with like-minded developers to show off projects, learn, and hang out.",https://www.linkedin.com/showcase/thefullstack/,"Information Technology, Internet",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2021,active,
thegiantreport,https://thegiantreport.com,Educational and business Content publishing,,,c_00001_00010,,10/2/2020,active,
thegiglab,https://www.thegiglab.com,"thegiglab is a recruitment agency focusing on frontend developer roles, javascript placements, and consulting.",https://www.linkedin.com/company/thegiglab,"Human Resources, Information Technology, Recruiting, Staffing Agency",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2013,active,Luke Thomas
thegioiaothun,https://thegioiaothun.com/,Thegioiaothun is a popular type of uniform and shirt in Vietnam.,,,,,,active,
thehelper,https://www.thehelper.de,thehelper is an advertising agency in the field of web development.,https://www.linkedin.com/company/thehelper.de,"Advertising, Publishing, Training, Web Development",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2009,active,
thehostingpool,https://thehostingpool.com/,"thehostingpool is an IT company that provides web hosting, web designing, domain registration, and digital marketing services.",https://www.linkedin.com/company/thehostingpool,"Digital Marketing, Domain Registrar, Information Technology, Web Design, Web Hosting",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2001,active,
thehub.hu,http://thehub.hu/,"thehub.hu is an online community that provides its users with business development, project management, and speed coaching solutions.",https://www.linkedin.com/company/873307,"Business Development, Finance, Project Management",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2012,active,"David Trayford, Gabor Dehelan, Luca Speranza"
theictworld,https://theictworld.com/,online magazine covering ICT news and ICT sectors and focusing in Egypt situation,https://www.linkedin.com/company/ict-world/,,c_00011_00050,,4/18/2022,active,
theidol.com,https://www.theidol.com/,theidol is an online insurance comparison website.,https://www.linkedin.com/company/theidol.com/,"Insurance, Life Insurance",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/1999,active,
theimagefile,https://www.theimagefile.com,"theimagefile provides photographer's websites, with SEO and online proofing and sales with fulfillment options.",https://www.linkedin.com/company/theimagefile,"E-Commerce, Photo Sharing, SEO, Web Hosting",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",1/11/2002,active,
theimpact,http://theimpact.co.in,The Impact offers English Speaking Cours,https://www.linkedin.com/in/the-impact-corporate-training-b60b8b120,"Education, Language Learning",c_00001_00010,Asia-Pacific (APAC),8/6/2010,active,
theindianfamilies.com,https://theindianfamilies.com/south-indian-lehenga-choli/,South Indian Lehenga Choli | Theindianfamilies.com,,,,,,active,
theinstaapk,https://theinstaapk.com/,We have a well designed Social website https://theinstaapk.com/. You can vist it by this link,https://www.linkedin.com/in/socialmines-theinstaapk/,E-Commerce,c_00001_00010,,,active,
theion,https://www.theion.de/,Theion provides lithium-sulfur and solid-state batteries.,https://www.linkedin.com/company/theion-batteries/,"Battery, Chemical, Energy Storage",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2020,active,"Florian Ruess, Johannes Eisele, Marek Slavik"
thejuice,https://thejuice.com,"thejuice offers content and production services for the attraction, entertainment, leisure, and retail sectors.",https://www.linkedin.com/company/the-juice-films-ltd,"Content, Film, Film Production, Media and Entertainment",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2009,active,
theleisureway,https://www.theleisureway.com/,"theleisureway provides consultancy, advisory, strategy development, concept design, assurance, and integral project delivery services.",https://www.linkedin.com/company/the-leisure-way/,"Consulting, Product Management, Professional Services",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2011,active,Gaston Gaitan
thelight innovation,https://thelightinn.com.br,"thelight innovation focuses on innovation management and entrepreneurship, with ties to digital media and smart building solutions.",https://www.linkedin.com/company/thelight-innovation/,"Consulting, Digital Media, Training",c_00001_00010,Latin America,1/1/2019,active,
thelittleloop,http://thelittleloop.com,The UK's first rental marketplace for kids clothing,https://www.linkedin.com/company/28412431/admin/,"E-Commerce, Marketplace",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",11/1/2019,active,Charlotte Morley
themarket,https://themarket.io/,themarket is a resell marketplace of streetwear clothing and accessories with 100k+ listings from streetwear to high fashion and techwear.,,"E-Commerce, Fashion, Marketplace",,"Europe, Middle East, and Africa (EMEA)",4/30/2016,active,Mike Postnikov
themediahouse,http://themediahouse.de/,Themediahouse is a High-end image processing and media designing company located in Mühlacker.,https://www.linkedin.com/company/themediahouse-gmbh,"Digital Media, Marketing, Social Media Advertising",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1997,active,
themehigh,https://www.themehigh.com,We develop innovative WordPress plugins and themes for e-commerce and other WordPress websites and plugins.,https://www.linkedin.com/company/themehigh/,"E-Commerce, Software",c_00011_00050,Asia-Pacific (APAC),1/1/2015,active,
themobilehub,https://themobilehub.com.au/,"Make your iPad screen replacement easy, convenient, and affordable with The Mobile Hub.",,,,,,active,
thenetworkone,http://www.thenetworkone.com/,Thenetworkone is a U.K.-based advertising and marketing agency that creates and manages communications and promotion campaigns across media.,https://www.linkedin.com/company/125470,Advertising,c_00001_00010,"Europe, Middle East, and Africa (EMEA)",1/1/2003,active,
thenex,https://thenex.com,"thenex offers to supply industrial spare parts, replacement, and equipment services.",https://www.linkedin.com/company/thenex-gmbh,"Customer Service, Industrial, Industrial Engineering",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1900,active,
theo eyewear,https://www.theo.be/F-SWINB.html,theo eyewear is an eyewear manufacturer that designs and manufactures a wide variety of sunglasses and eyewear products.,https://www.linkedin.com/company/theo-eyewear/,"Eyewear, Manufacturing, Retail",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1987,active,
theofeel,http://www.theofeel.de,theofeel is an online store for children's jeans for all sizes.,https://www.linkedin.com/company/kindermode-versand-theofeel/,"Children, E-Commerce, Fashion, Retail",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
theolaur paints,https://www.theolaur.com,"theolaur paints designs, formulates, and manufactures paints.",https://www.linkedin.com/company/theolaur,"Chemical, Manufacturing, Sales",c_00251_00500,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1825-01-01,active,
thepaellaclub,https://thepaellaclub.com/,"The story of The Paella Club is the story of determination, passion, cultural heritage, community, and of course, love for food.",https://www.linkedin.com/company/the-paella-club,"Cooking, Food Processing",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2016,active,
thepeoplegame,https://www.thepeoplegame.com/,"thepeoplegame focuses on developing human capital practices that deliver pragmatic outcomes for leaders, HR teams, and organisations.",https://www.linkedin.com/company/thepeoplegame,"Brand Marketing, Consulting, Human Resources, Management Consulting",c_00001_00010,"Asia-Pacific (APAC), Australasia",1/1/2008,active,Meredith Wilson
thepinnaclewebdesigns,https://p1nnacledesigns.com/,P1nnacledesigns - Digital Markeing & Web Developement Agency,,,c_00251_00500,,11/24/1994,active,
theplasticshop.co.uk,https://www.theplasticshop.co.uk,theplasticshop.co.uk is a supplier of plastics.,https://www.linkedin.com/company/theplasticshop,"Plastics and Rubber Manufacturing, Wholesale",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/1982,active,
thepmleague.com,http://thepmleague.com/,thepmleague.com provides project management and e-learning services.,https://www.linkedin.com/company/thepmleague-com/,"E-Learning, Education, Project Management",c_00001_00010,,1/1/2015,active,
theprintspace,https://www.theprintspace.co.uk/,theprintspace also have a central London gallery which hosts regular exhibitions with partners and organisations ranging.,https://www.linkedin.com/company/theprintspace/about/,"Internet, Internet of Things",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2007,active,"Hugh Smith, Stuart Waplington"
theraCUES,https://theracues.com,"theraCUES enables translational research in precision medicine, focusing on disease detection and targeted therapy solutions.",https://www.linkedin.com/company/theracues,"Biotechnology, Precision Medicine, Therapeutics",c_00011_00050,Asia-Pacific (APAC),1/1/2016,active,
therapieland,https://therapieland.nl,"Therapieland is the largest e-Health provider in the Netherlands, develops online programs to give health care to people.",https://www.linkedin.com/company/therapieland/,Health Care,c_00051_00100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2012,active,
there for design,http://therefordesign.com/,"there for design is a marketing firm that offers services such as branding, strategies, social media and web design services to companies.",,"Advertising, Brand Marketing, Web Design",,"Europe, Middle East, and Africa (EMEA), Middle East",,active,William Choukeir
thermis consulting,https://www.thermis.de/,thermis consulting provides software and advice for consumption-based heating billing.,https://www.linkedin.com/company/thermis-consulting,"Advice, Consulting, Professional Services",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2003,active,Stephan Schröpel
thermotec,https://thermotec-es.com,"thermotec provides 3D simulations, automation, and software for the automotive industry.",https://www.linkedin.com/company/thermotec-engineering-services-gmbh/,"Automotive, Graphic Design, Information Technology, Software",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
these abilities,http://www.theseabilities.com/,"(these)abilities desigs and builds products that level the playing field for persons with disabilities at work, at home and during play.",https://www.linkedin.com/company/-these-abilities/,"Health Care, Information Technology, Training",c_00001_00010,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",1/1/2015,active,
théhuone,https://thehuone.com,"théhuone is a tea shop that provides tea products, teapots, and accessories.",https://www.linkedin.com/company/th-huone,"E-Commerce, Food and Beverage, Tea",c_00001_00010,"European Union (EU), Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",1/1/2005,active,
ti MÉTRICAS,http://metricas.com.br ,ti MÉTRICAS is a company that specializes in applying software metrics to information technology.,https://www.linkedin.com/company/timetricas ,"Information Technology, Software",c_00051_00100,Latin America,1/1/2001,active,
ti steps,https://www.curapersonal.eu/home/,ti steps is a Staffing and Recruiting firm.,https://www.linkedin.com/company/curapersonal/,Staffing Agency,c_00051_00100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2016,active,Krishna Javaji
tim tools-in-motion,https://tools-in-motion.de/,tim tools-in-motion is a wholesale store that supplies measuring and factory equipment along with cooling lubricants and precision tools.,https://www.linkedin.com/company/tim-tools-in-motion-gmbh/,"Consumer Goods, Retail, Wholesale",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/1/2010,active,
